SEANCE_DT, POINT_DT, ORBIT, WKT, HEIGHT, POINT_TYPE
"2019-03-12 06:14:24", "2019-03-12 06:16:58", 5793, "POINT(33.6506 58.4969)", 17.44, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:58", 5793, "POINT(-24.6219 68.6682)", 17.44, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:00", 5793, "POINT(33.7527 58.5876)", 18.24, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:00", 5793, "POINT(-24.6700 68.7838)", 18.24, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:02", 5793, "POINT(33.8516 58.6747)", 19.01, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:02", 5793, "POINT(-24.7167 68.8951)", 19.01, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:04", 5793, "POINT(33.9549 58.7652)", 19.81, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:04", 5793, "POINT(-24.7656 69.0106)", 19.81, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:06", 5793, "POINT(34.0582 58.8551)", 20.61, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:06", 5793, "POINT(-24.8147 69.1255)", 20.61, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:09", 5793, "POINT(34.1627 58.9453)", 21.42, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:09", 5793, "POINT(-24.8645 69.2408)", 21.42, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:11", 5793, "POINT(34.2672 59.0350)", 22.22, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:11", 5793, "POINT(-24.9144 69.3556)", 22.22, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:13", 5793, "POINT(34.3728 59.1251)", 23.03, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:13", 5793, "POINT(-24.9649 69.4708)", 23.03, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:15", 5793, "POINT(34.4781 59.2141)", 23.84, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:15", 5793, "POINT(-25.0155 69.5849)", 23.84, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:17", 5793, "POINT(34.5849 59.3040)", 24.65, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:17", 5793, "POINT(-25.0669 69.7000)", 24.65, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:19", 5793, "POINT(34.6918 59.3933)", 25.47, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:19", 5793, "POINT(-25.1186 69.8144)", 25.47, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:21", 5793, "POINT(34.7998 59.4829)", 26.29, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:21", 5793, "POINT(-25.1709 69.9294)", 26.29, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:24", 5793, "POINT(34.9079 59.5719)", 27.10, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:24", 5793, "POINT(-25.2235 70.0438)", 27.10, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:26", 5793, "POINT(35.0172 59.6613)", 27.93, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:26", 5793, "POINT(-25.2767 70.1586)", 27.93, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:28", 5793, "POINT(35.1266 59.7502)", 28.75, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:28", 5793, "POINT(-25.3302 70.2728)", 28.75, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:30", 5793, "POINT(35.2371 59.8394)", 29.57, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:30", 5793, "POINT(-25.3845 70.3875)", 29.57, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:32", 5793, "POINT(35.3477 59.9280)", 30.40, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:32", 5793, "POINT(-25.4389 70.5015)", 30.40, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:34", 5793, "POINT(35.4595 60.0169)", 31.23, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:34", 5793, "POINT(-25.4941 70.6161)", 31.23, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:36", 5793, "POINT(35.5714 60.1054)", 32.06, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:36", 5793, "POINT(-25.5496 70.7300)", 32.06, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:39", 5793, "POINT(35.6845 60.1941)", 32.89, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:39", 5793, "POINT(-25.6059 70.8444)", 32.89, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:41", 5793, "POINT(35.7977 60.2823)", 33.72, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:41", 5793, "POINT(-25.6624 70.9582)", 33.72, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:43", 5793, "POINT(35.9121 60.3707)", 34.56, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:43", 5793, "POINT(-25.7197 71.0725)", 34.56, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:45", 5793, "POINT(36.0271 60.4591)", 35.40, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:45", 5793, "POINT(-25.7775 71.1867)", 35.40, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:47", 5793, "POINT(36.1423 60.5469)", 36.24, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:47", 5793, "POINT(-25.8357 71.3003)", 36.24, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:49", 5793, "POINT(36.2587 60.6351)", 37.08, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:49", 5793, "POINT(-25.8946 71.4144)", 37.08, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:51", 5793, "POINT(36.3753 60.7227)", 37.92, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:51", 5793, "POINT(-25.9539 71.5278)", 37.92, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:54", 5793, "POINT(36.4930 60.8105)", 38.77, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:54", 5793, "POINT(-26.0140 71.6417)", 38.77, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:56", 5793, "POINT(36.6109 60.8979)", 39.61, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:56", 5793, "POINT(-26.0745 71.7550)", 39.61, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:17:58", 5793, "POINT(36.7301 60.9855)", 40.46, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:17:58", 5793, "POINT(-26.1358 71.8688)", 40.46, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:18:00", 5793, "POINT(36.8494 61.0726)", 41.31, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:18:00", 5793, "POINT(-26.1975 71.9820)", 41.31, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:18:02", 5793, "POINT(36.9699 61.1600)", 42.16, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:18:02", 5793, "POINT(-26.2600 72.0956)", 42.16, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:18:04", 5793, "POINT(37.0906 61.2469)", 43.02, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:18:04", 5793, "POINT(-26.3229 72.2086)", 43.02, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:18:06", 5793, "POINT(37.2120 61.3336)", 43.87, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:18:06", 5793, "POINT(-26.3865 72.3216)", 43.87, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:18:09", 5793, "POINT(37.3347 61.4206)", 44.73, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:18:09", 5793, "POINT(-26.4510 72.4350)", 44.73, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:18:11", 5793, "POINT(37.4576 61.5071)", 45.58, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:18:11", 5793, "POINT(-26.5159 72.5478)", 45.58, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:18:13", 5793, "POINT(37.5818 61.5938)", 46.44, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:18:13", 5793, "POINT(-26.5818 72.6610)", 46.44, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:18:15", 5793, "POINT(37.7061 61.6800)", 47.30, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:18:15", 5793, "POINT(-26.6480 72.7737)", 47.30, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:18:17", 5793, "POINT(37.8317 61.7665)", 48.17, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:18:17", 5793, "POINT(-26.7153 72.8868)", 48.17, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:18:19", 5793, "POINT(37.9576 61.8524)", 49.03, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:18:19", 5793, "POINT(-26.7830 72.9993)", 49.03, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:18:21", 5793, "POINT(38.0847 61.9386)", 49.90, "TRACK"
